order_line_id,order_id,order_date,customer_id,customer_segment,country,acquisition_channel,product_category,product_id,quantity,unit_price,currency,discount_pct,shipping_cost,returned,payment_status
OL-0001783,ORD-001064,2026-05-25,CUS-B-00099,Corporate,Germany,Organic,Electronics,ELE-023,1,531.22,EUR,20,10.17,False,Paid
OL-0003918,ORD-002343,2026-06-08,CUS-C-00425,Consumer,Germany,Marketplace,Home,HOM-025,1,128.51,EUR,0,8.49,False,Paid
OL-0000222,ORD-000137,2026-04-18,CUS-C-00952,Consumer,Germany,Email,Home,HOM-019,1,65.87,EUR,0,6.83,False,Paid
OL-0002136,ORD-001275,2026-02-28,CUS-C-01076,Consumer,Germany,Marketplace,Office,OFF-023,2,55.53,EUR,0,4.7,False,Paid
OL-0005225,ORD-003124,25/05/2026,CUS-S-00161,Small Business,France,Organic,Office,OFF-015,3,68.2,EUR,0,3.81,False,Paid
OL-0001169,ORD-000697,2026-03-12,CUS-S-00326,Small Business,Spain,Organic,Office,OFF-020,6,46.09,EUR,0,3.92,False,Paid
OL-0000880,ORD-000531,2026-06-22,CUS-C-00242,Consumer,France,Organic,Office,OFF-008,5,8.42,EUR,0,4.19,False,Paid
OL-0000157,ORD-000100,07/03/2026,CUS-C-00520,Consumer,United Kingdom,Organic,Office,OFF-026,1,18.59,GBP,0,3.18,False,Paid
OL-0001658,ORD-000991,2026-06-17,,Small Business,Spain,Social,Home,HOM-016,2,271.82,EUR,0,6.48,False,Paid
OL-0000324,ORD-000198,2026-05-11,CUS-C-00116,Consumer,Germany,Organic,Electronics,ELE-030,1,1110.27,EUR,0,15.54,False,Paid
OL-0005303,ORD-003170,2026-04-03,CUS-S-00332,Small Business,Germany,Paid Search,Office,OFF-030,2,64.23,EUR,0,4.53,False,Paid
OL-0002612,ORD-001560,2026-05-26,CUS-C-00727,Consumer,United States,Marketplace,Home,HOM-025,-2,140.83,USD,0,8.1,True,Refunded
OL-0000812,ORD-000490,2026-05-14,CUS-S-00179,Small Business,France,Email,Home,HOM-020,3,56.81,EUR,20,6.59,False,Paid
OL-0000394,ORD-000238,2026-05-17,CUS-S-00512,Small Business,Germany,Organic,Office,OFF-023,2,56.3,EUR,0,4.83,False,Paid
OL-0003594,ORD-002145,2026-05-25,CUS-C-01079,Consumer,Germany,Marketplace,Home,HOM-024,1,80.11,EUR,0,9.61,False,Paid
OL-0002639,ORD-001574,2026-05-15,CUS-C-01302,Consumer,France,Social,Office,OFF-024,6,17.04,EUR,0,4.6,False,Paid
OL-0002188,ORD-001308,2026-04-26,,Consumer,United States,Organic,Office,OFF-022,6,24.93,USD,0,5.4,False,Paid
OL-0005352,ORD-003199,12/03/2026,,Consumer,France,Marketplace,Office,OFF-016,2,9.26,EUR,0,3.78,False,Paid
OL-0000320,ORD-000195,2026-04-03,CUS-S-00270,Small Business,Spain,Email,Electronics,ELE-009,2,211.31,EUR,5,14.02,False,Paid
OL-0000168,ORD-000104,14/02/2026,CUS-C-00459,Consumer,Germany,Paid Search,Office,OFF-024,2,17.83,EUR,15,5.38,False,Paid
OL-0000747,ORD-000448,2026-05-17,CUS-C-00630,Consumer,France,Organic,Office,OFF-013,3,50.15,EUR,0,3.94,False,Paid
OL-0005471,ORD-003272,2026-03-25,CUS-C-00064,Consumer,United Kingdom,Marketplace,Home,HOM-018,1,40.46,GBP,0,7.22,False,Paid
OL-0003708,ORD-002213,2026-03-20,CUS-S-00093,Small Business,United Kingdom,Organic,Home,HOM-030,3,109.69,GBP,20,8.35,False,Paid
OL-0002765,ORD-001649,13/05/2026,CUS-B-00207,Corporate,United Kingdom,Social,Home,HOM-037,1,120.45,GBP,0,7.05,False,Paid
OL-0005113,ORD-003057,30/05/2026,CUS-B-00218,Corporate,United States,Organic,Electronics,ELE-019,3,273.77,USD,0,14.8,False,Paid
OL-0004007,ORD-002398,05/04/2026,CUS-S-00077,Small Business,United States,Social,Office,OFF-033,6,36.84,USD,0,5.1,False,Paid
OL-0001872,ORD-001114,2026-01-19,CUS-S-00442,Small Business,Germany,Marketplace,Office,OFF-024,1,17.87,EUR,0,4.0,False,Paid
OL-0005757,ORD-003450,14/02/2026,CUS-C-00929,Consumer,Spain,Paid Search,Home,HOM-001,1,260.87,EUR,5,7.23,False,Paid
OL-0003194,ORD-001900,03/06/2026,CUS-B-00241,Corporate,United Kingdom,Organic,Electronics,ELE-006,2,191.6,GBP,0,10.22,False,Paid
OL-0003755,ORD-002243,06/02/2026,CUS-C-01065,Consumer,United Kingdom,Social,Electronics,ELE-013,1,287.84,GBP,0,10.97,False,Paid
OL-0005626,ORD-003373,2026-04-16,CUS-C-00937,Consumer,France,Organic,Home,HOM-005,1,267.15,EUR,0,9.59,False,Paid
OL-0004895,ORD-002927,09/05/2026,CUS-S-00084,Small Business,Germany,Social,Office,OFF-015,4,69.1,EUR,0,4.11,False,Pending
OL-0004103,ORD-002453,2026-02-21,CUS-S-00045,Small Business,Spain,Paid Search,Electronics,ELE-017,1,803.12,EUR,15,16.09,False,Paid
OL-0001262,ORD-000758,2026-06-06,CUS-C-00092,Consumer,Germany,Organic,Office,OFF-003,3,10.75,EUR,0,5.71,False,Paid
OL-0002339,ORD-001395,2026-01-20,CUS-C-00410,Consumer,France,Paid Search,Home,HOM-028,3,328.65,EUR,10,7.02,False,Pending
OL-0000085,ORD-000049,13/01/2026,CUS-B-00250,Corporate,Spain,Social,Office,OFF-039,1,20.73,EUR,0,5.95,False,Paid
OL-0003822,ORD-002281,2026-04-25,CUS-S-00342,Small Business,Germany,Paid Search,Home,HOM-025,1,129.82,EUR,0,6.73,False,Paid
OL-0002654,ORD-001581,2026-01-30,CUS-S-00443,Small Business,Spain,Email,Electronics,ELE-022,1,368.46,EUR,25,10.99,False,Paid
OL-0005546,ORD-003320,05/01/2026,CUS-S-00100,Small Business,United Kingdom,Email,Electronics,ELE-029,1,978.42,GBP,5,11.14,False,Pending
